api,status,primary_category,runner_category,checkpoint_attempts,provider_error_attempts,provider_internal_retries,doc_rounds_used,repair_status,source,error,category_reason
from_cesium_dataset,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/utils/cast.py:713,,
from_hdf5,pass,pass,,1,0,,,,tslearn/tslearn/bases/bases.py:232,,
from_json,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/bases/bases.py:273,,
from_numpy,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:98,,
from_pickle,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/bases/bases.py:321,,
from_pyflux_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:460,,
from_pyts_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:100,,
from_seglearn_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:182,,
from_sktime_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:335,,
from_stumpy_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:256,,
from_tsfresh_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/cast.py:578,,
gak,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_gak.py:99,,
gamma_soft_dtw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:474,,
get_backend,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/backend/backend.py:84,,
get_cluster_probas,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/early_classification/early_classification.py:215,,
get_config,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/shapelets/shapelets.py:160,,
get_early_predict_generator,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:627,,
get_early_predict_proba_generator,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/early_classification/early_classification.py:677,,
get_weights,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:828,missing module/import: No module named 'keras',Runner classified this as infrastructure.
grabocka_params_to_shapelet_size_dict,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:235,missing module/import: No module named 'keras',Runner classified this as infrastructure.
grad,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:1137,,
in_file_string_replace,pass,pass,,1,0,,,,tslearn/tslearn/datasets/datasets.py:57,,
instantiate_backend,pass,pass,,1,0,,,,tslearn/tslearn/backend/backend.py:7,,
intercept_,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:39,,
inv_transform_1d_sax,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/cysax.py:189,,
